feature,importance
num__budget_million,0.5473790961693141
num__imdb_rating,0.07841211746845254
num__votes,0.049765781498000386
num__marketing_budget_million,0.044586255432310935
num__release_year,0.0409258879845425
num__runtime_min,0.03964705357785405
num__metascore,0.036293429311318945
num__audience_score,0.03509645254725978
num__award_nominations,0.01526535429408229
num__award_wins,0.009055588772235551
num__franchise_flag,0.0030657902959251807
cat__streaming_platform_Peacock,0.0027502756043759364
cat__country_Japan,0.002691978424292047
cat__country_India,0.0026065904391418607
cat__language_Korean,0.002512213866813694
cat__subgenre_Martial Arts,0.002439800814403944
cat__language_Japanese,0.0023155982534043998
cat__language_German,0.002244876542412508
cat__streaming_platform_Disney+,0.002220765925032732
cat__language_Italian,0.0021852435762763035
